"Plot Title: 11_chill"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Intensity, Lux (LGR S/N: 9786041, SEN S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","Stopped (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
68,2019/12/13 01:00:00 PM,4.727,0.0,,,,
69,2019/12/13 02:00:00 PM,4.623,0.0,,,,
70,2019/12/13 03:00:00 PM,4.831,0.0,,,,
71,2019/12/13 04:00:00 PM,5.037,0.0,,,,
72,2019/12/13 05:00:00 PM,4.727,0.0,,,,
73,2019/12/13 06:00:00 PM,4.623,0.0,,,,
74,2019/12/13 07:00:00 PM,4.623,0.0,,,,
75,2019/12/13 08:00:00 PM,4.623,0.0,,,,
76,2019/12/13 09:00:00 PM,4.623,0.0,,,,
77,2019/12/13 10:00:00 PM,4.623,0.0,,,,
78,2019/12/13 11:00:00 PM,4.623,0.0,,,,
79,2019/12/14 12:00:00 AM,4.623,0.0,,,,
80,2019/12/14 01:00:00 AM,4.623,0.0,,,,
81,2019/12/14 02:00:00 AM,4.623,0.0,,,,
82,2019/12/14 03:00:00 AM,4.623,0.0,,,,
83,2019/12/14 04:00:00 AM,4.519,0.0,,,,
84,2019/12/14 05:00:00 AM,4.519,0.0,,,,
85,2019/12/14 06:00:00 AM,4.623,0.0,,,,
86,2019/12/14 07:00:00 AM,4.623,0.0,,,,
87,2019/12/14 08:00:00 AM,4.623,0.0,,,,
88,2019/12/14 09:00:00 AM,4.623,0.0,,,,
89,2019/12/14 10:00:00 AM,4.519,0.0,,,,
90,2019/12/14 11:00:00 AM,4.623,0.0,,,,
91,2019/12/14 12:00:00 PM,4.623,0.0,,,,
92,2019/12/14 01:00:00 PM,4.623,0.0,,,,
93,2019/12/14 02:00:00 PM,4.623,0.0,,,,
94,2019/12/14 03:00:00 PM,4.623,0.0,,,,
95,2019/12/14 04:00:00 PM,4.519,0.0,,,,
96,2019/12/14 05:00:00 PM,4.519,0.0,,,,
97,2019/12/14 06:00:00 PM,4.623,0.0,,,,
98,2019/12/14 07:00:00 PM,4.623,0.0,,,,
99,2019/12/14 08:00:00 PM,4.623,0.0,,,,
100,2019/12/14 09:00:00 PM,4.623,0.0,,,,
101,2019/12/14 10:00:00 PM,4.623,0.0,,,,
102,2019/12/14 11:00:00 PM,4.623,0.0,,,,
103,2019/12/15 12:00:00 AM,4.623,0.0,,,,
104,2019/12/15 01:00:00 AM,4.623,0.0,,,,
105,2019/12/15 02:00:00 AM,4.623,0.0,,,,
106,2019/12/15 03:00:00 AM,4.623,0.0,,,,
107,2019/12/15 04:00:00 AM,4.623,0.0,,,,
108,2019/12/15 05:00:00 AM,4.519,0.0,,,,
109,2019/12/15 06:00:00 AM,4.623,0.0,,,,
110,2019/12/15 07:00:00 AM,4.623,0.0,,,,
111,2019/12/15 08:00:00 AM,4.623,0.0,,,,
112,2019/12/15 09:00:00 AM,4.623,0.0,,,,
113,2019/12/15 10:00:00 AM,4.519,0.0,,,,
114,2019/12/15 11:00:00 AM,4.623,0.0,,,,
115,2019/12/15 12:00:00 PM,4.623,0.0,,,,
116,2019/12/15 01:00:00 PM,4.623,0.0,,,,
117,2019/12/15 02:00:00 PM,4.623,0.0,,,,
118,2019/12/15 03:00:00 PM,4.623,0.0,,,,
119,2019/12/15 04:00:00 PM,4.519,0.0,,,,
120,2019/12/15 05:00:00 PM,4.623,0.0,,,,
121,2019/12/15 06:00:00 PM,4.623,0.0,,,,
122,2019/12/15 07:00:00 PM,4.623,0.0,,,,
123,2019/12/15 08:00:00 PM,4.519,0.0,,,,
124,2019/12/15 09:00:00 PM,4.623,0.0,,,,
125,2019/12/15 10:00:00 PM,4.623,0.0,,,,
126,2019/12/15 11:00:00 PM,4.519,0.0,,,,
127,2019/12/16 12:00:00 AM,4.623,0.0,,,,
128,2019/12/16 01:00:00 AM,4.519,0.0,,,,
129,2019/12/16 02:00:00 AM,4.623,0.0,,,,
130,2019/12/16 03:00:00 AM,4.519,0.0,,,,
131,2019/12/16 04:00:00 AM,4.623,0.0,,,,
132,2019/12/16 05:00:00 AM,4.623,0.0,,,,
133,2019/12/16 06:00:00 AM,4.623,0.0,,,,
134,2019/12/16 07:00:00 AM,4.623,0.0,,,,
135,2019/12/16 08:00:00 AM,4.623,0.0,,,,
136,2019/12/16 09:00:00 AM,4.623,0.0,,,,
137,2019/12/16 10:00:00 AM,4.623,0.0,,,,
138,2019/12/16 11:00:00 AM,4.519,0.0,,,,
139,2019/12/16 12:00:00 PM,4.623,0.0,,,,
140,2019/12/16 01:00:00 PM,4.623,0.0,,,,
141,2019/12/16 02:00:00 PM,4.519,0.0,,,,
142,2019/12/16 03:00:00 PM,4.519,0.0,,,,
143,2019/12/16 04:00:00 PM,4.519,0.0,,,,
144,2019/12/16 05:00:00 PM,4.519,0.0,,,,
145,2019/12/16 06:00:00 PM,4.623,0.0,,,,
146,2019/12/16 07:00:00 PM,4.519,0.0,,,,
147,2019/12/16 08:00:00 PM,4.519,0.0,,,,
148,2019/12/16 09:00:00 PM,4.519,0.0,,,,
149,2019/12/16 10:00:00 PM,4.519,0.0,,,,
150,2019/12/16 11:00:00 PM,4.519,0.0,,,,
151,2019/12/17 12:00:00 AM,4.519,0.0,,,,
152,2019/12/17 01:00:00 AM,4.519,0.0,,,,
153,2019/12/17 02:00:00 AM,4.519,0.0,,,,
154,2019/12/17 03:00:00 AM,4.519,0.0,,,,
155,2019/12/17 04:00:00 AM,4.519,0.0,,,,
156,2019/12/17 05:00:00 AM,4.519,0.0,,,,
157,2019/12/17 06:00:00 AM,4.519,0.0,,,,
158,2019/12/17 07:00:00 AM,4.519,0.0,,,,
159,2019/12/17 08:00:00 AM,4.519,0.0,,,,
160,2019/12/17 09:00:00 AM,4.519,0.0,,,,
161,2019/12/17 10:00:00 AM,4.519,0.0,,,,
162,2019/12/17 11:00:00 AM,4.519,0.0,,,,
163,2019/12/17 12:00:00 PM,4.519,0.0,,,,
164,2019/12/17 12:21:47 PM,,,Logged,Logged,,
165,2019/12/17 12:21:55 PM,,,,,Logged,Logged
