date,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
11,sm,LLH,NA,27,poptre,0,100,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,27,shecan,7,50,2,3,35,1,65,NA,NA,17,NA,NA,NA,
11,sm,LLH,NA,27,vibedu,3,100,1,9,25,7,15,1,50,1 dead,NA,NA,NA,
11,sm,LLH,NA,28,amealn,3,80,5,1,10,0,90,NA,NA,31,NA,NA,NA,
11,sm,LLH,NA,28,loninv,0,100,2,3,60,1,10,0,30,NA,NA,NA,NA,
11,sm,LLH,NA,28,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,28,vibedu,9,100,4,10,5,40,3,55,NA,15,NA,NA,NA,
11,sm,LLH,NA,9,alninc,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,9,spibet,3,100,3,3,100,NA,NA,NA,NA,6,NA,NA,NA,
11,sm,LLH,8,9,sorsco,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,9,sorsco,17,100,1,1,70,0,30,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,30,riblac,3,100,3,3,1,65,0,30,NA,34,NA,NA,NA,
11,sm,LLH,NA,30,spibet,3,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,30,symalb,NA,NA,NA,3,10,1,70,0,10,NA,NA,NA,NA,
11,sm,LLH,NA,30,shecan,3,100,2,3,50,1,50,NA,NA,17,NA,NA,NA,
11,sm,LLH,NA,25,betpap,1,100,2,1,60,0,40,NA,NA,7,NA,NA,NA,
11,sm,LLH,NA,25,corsto,7,100,1,9,35,7,65,NA,NA,6,NA,NA,NA,
11,sm,LLH,NA,25,riblac,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,25,sorsco,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,18,loninv,3,100,2,3,60,1,40,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,18,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,18,shecan,3,100,1,3,50,1,50,NA,NA,19,NA,NA,NA,
11,sm,LLH,NA,18,vibedu,10,100,1,10,30,9,20,3,50,10,NA,NA,NA,
11,sm,LLH,NA,22,alninc,3,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,22,riblac,1,100,2,1,5,0,95,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,22,spibet,3,100,1,3,70,1,25,0,5,NA,NA,NA,NA,
11,sm,LLH,NA,22,vibedu,11,100,1,10,25,9,10,7,5,NA,NA,NA,NA,
11,sm,LLH,NA,17,popbal,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,17,riblac,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,17,vibedu,3,100,9,45,3,10,1,45,NA,11,NA,NA,NA,
11,sm,LLH,NA,17,shecan,3,100,1,3,20,1,80,NA,NA,19,NA,NA,NA,
11,sm,LLH,NA,12,alninc,1,100,1,1,15,0,85,NA,NA,7,NA,NA,NA,
11,sm,LLH,NA,12,alnvir,3,50,2,1,70,0,30,NA,NA,10,NA,NA,NA,
11,sm,LLH,NA,12,corsto,9,100,2,9,80,1,20,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,12,spipyr,1,100,1,3,15,1,85,NA,NA,7,NA,NA,NA,
11,sm,LLH,NA,37,loninv,3,100,2,7,10,3,55,1,25,32,NA,NA,NA,
11,sm,LLH,NA,37,menfer,1,90,8,1,40,0,60,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,37,shecan,3,100,1,1,100,NA,NA,NA,NA,31,NA,NA,NA,
11,sm,LLH,NA,37,vibedu,7,100,1,7,25,3,75,NA,NA,17,NA,NA,NA,
11,mp,LLH,NA,16,alnvir,3,100,3,3,55,15,0,30,NA,21,NA,NA,NA,
11,mp,LLH,NA,16,corsto,3,100,2,3,60,1,40,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,16,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,16,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,35,acegla,1,100,12,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,35,corsto,7,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,35,loninv,3,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,35,menfer,1,100,12,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,36,amealn,1,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,A,36,poptre,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,B,36,poptre,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,36,vibedu,3,100,1,7,50,3,25,1,25,NA,NA,NA,NA,
11,sm,LLH,NA,34,corsto,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,34,loninv,3,80,6,3,55,1,45,NA,NA,15,NA,NA,NA,
11,sm,LLH,NA,34,shecan,3,100,1,3,100,NA,NA,NA,NA,18,60,NA,NA,
11,sm,LLH,NA,34,vacmem,3,30,NA,1,30,0,40,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,22,alnvir,3,100,2,3,55,1,45,NA,NA,22,NA,NA,NA,
11,mp,LLH,NA,22,popbal,1,100,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,22,riblac,3,100,1,3,90,1,10,NA,NA,21,NA,NA,NA,
11,mp,LLH,NA,22,shecan,3,100,1,3,90,1,10,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,18,corsto,7,100,1,3,50,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,18,rubpar,1,100,1,1,60,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,18,vacmem,3,15,NA,1,30,0,55,NA,NA,43,NA,NA,NA,
11,mp,LLH,NA,18,vibedu,3,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,34,amealn,3,100,1,3,40,1,40,0,10,13,NA,NA,NA,
11,mp,LLH,NA,34,loninv,3,100,1,3,40,1,60,NA,NA,7,NA,NA,NA,
11,mp,LLH,NA,34,poptre,0,100,3,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,34,spipyr,1,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,4,acegla,1,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,4,corsto,7,100,1,7,10,3,90,NA,NA,NA,NA,NA,NA,
11,sm,LLH,B2,4,spipyr,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,B1,4,spipyr,3,100,1,7,10,3,90,NA,NA,NA,NA,NA,NA,
11,sm,LLH,A,11,acegla,1,100,2,1,50,0,50,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,11,betpap,1,100,1,1,30,3,50,0,20,10,NA,NA,NA,
11,sm,LLH,NA,11,symalb,1,90,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,11,sorsco,3,100,1,7,25,1,25,0,50,NA,NA,NA,NA,
11,sm,LLH,NA,11,acegla,1,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,26,corsto,9,100,1,10,30,7,30,3,40,NA,NA,NA,NA,
11,mp,LLH,NA,26,samrac,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,26,spibet,3,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,26,vibedu,3,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,NA,13,alnvir,1,100,1,1,25,0,75,NA,NA,12,NA,NA,NA,
11,sm,LLH,straight,13,poptre,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,A,13,spibet,3,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLH,B,13,spibet,3,100,5,7,20,3,70,1,10,26,NA,NA,NA,
11,mp,LLH,NA,21,acegla,3,100,3,3,30,1,70,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,21,menfer,1,100,11,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,21,rhoalb,1,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,21,spipyr,1,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,2,loninv,3,100,1,3,40,1,60,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,2,menfer,1,70,13,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,2,poptre,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,mp,LLH,NA,2,spibet,1,100,1,3,45,1,45,0,10,9,NA,NA,NA,
11,sm,LLL,NA,16,amealn,3,100,1,3,20,1,50,0,30,10,NA,NA,NA,
11,sm,LLL,NA,16,acegla,3,100,2,3,75,1,25,NA,NA,23,NA,NA,NA,
11,sm,LLL,NA,16,betpap,0,100,2,0,100,NA,NA,NA,NA,4,NA,NA,NA,
11,sm,LLL,NA,16,vibedu,7,100,1,7,75,3,25,NA,NA,NA,NA,NA,NA,
11,sm,LLL,NA,1,alninc,1,100,1,1,15,0,85,NA,NA,6,NA,NA,NA,
11,sm,LLL,NA,1,poptre,0,100,1,0,100,NA,NA,NA,NA,10,NA,NA,NA,
11,sm,LLL,NA,1,vibedu,3,100,3,9,10,7,40,3,40,17,NA,NA,NA,
11,sm,LLL,NA,1,vacmem,3,80,NA,1,20,0,80,NA,NA,NA,NA,1,20,
11,sm,LLL,NA,38,riblac,0,100,1,0,100,NA,NA,NA,NA,20,NA,NA,NA,
11,sm,LLL,NA,38,spibet,1,100,1,1,15,0,85,NA,NA,6,NA,NA,NA,
11,sm,LLL,NA,38,vibedu,3,100,2,7,15,3,85,NA,NA,22,NA,NA,NA,
11,sm,LLL,NA,38,shecan,1,80,5,3,10,1,70,0,20,40,NA,NA,NA,
11,sm,LLL,NA,27,corsto,3,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLL,NA,27,spipyr,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LLL,NA,27,vibedu,3,100,1,7,50,3,50,NA,NA,8,NA,NA,NA,
11,sm,LHL,NA,12,amealn,32,100,2,3,30,1,30,0,40,7,NA,NA,NA,
11,sm,LHL,NA,12,alninc,1,100,1,1,20,0,80,NA,NA,10,NA,NA,NA,
11,sm,LHL,NA,12,sorsco,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LHL,NA,12,vibedu,3,100,2,7,15,3,85,NA,NA,14,NA,NA,NA,
11,sm,LHL,NA,17,amealn,1,100,1,1,50,0,50,NA,NA,10,NA,NA,NA,
11,sm,LHL,NA,17,loninv,3,100,2,3,40,1,40,0,20,24,NA,NA,NA,
11,sm,LHL,NA,17,riblac,1,100,1,3,50,1,40,0,10,18,NA,NA,NA,
11,sm,LHL,NA,17,vibedu,7,100,1,7,90,3,10,NA,NA,11,NA,NA,NA,
11,sm,LHL,NA,17,shecan,1,100,1,3,1,20,0,80,NA,NA,NA,NA,NA,
11,sm,LHL,NA,39,corsto,3,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LHL,NA,39,symalb,NA,NA,NA,1,40,0,60,NA,NA,NA,NA,NA,NA,
11,sm,LHL,NA,39,spipyr,1,100,1,1,90,0,10,NA,NA,NA,NA,NA,NA,
11,sm,LHL,NA,39,vibedu,3,100,1,7,55,3,45,NA,NA,26,NA,NA,NA,
11,sm,LHL,NA,32,loninv,3,100,1,1,100,NA,NA,NA,NA,10,NA,NA,NA,
11,sm,LHL,NA,32,poptre,0,100,3,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
11,sm,LHL,NA,32,vibedu,7,100,1,9,20,7,20,3,60,14,NA,NA,NA,
12,sm,LHH,NA,9,poptre,1,100,1,1,40,0,60,NA,NA,8,NA,NA,NA,
